,X_pan,X_pitch,X_mainVol,X_expression,X_velocity,X_ovVol,Y_pan,Y_pitch,Y_mainVol,Y_expression,Y_velocity,Y_ovVol,Diff_timing(MicroSeconds),Diff_timing(Beats),Diff_pitch,Diff_freq,Diff_pan,Diff_mainVol,Diff_expression,Diff_velocity,Diff_ovVol,Diff_octave,Diff_program(group),X_panClassification,Y_panClassification,HasDiff_timing,HasDiff_program,HasDiff_pan,HasDiff_pitch,HasDiff_ppp,HasDiff_ovVol,HasDiff_octave,X_panIsCenter,Y_panIsCenter,X_hasPitchBend,Y_hasPitchBend
Y_panClassification,-0.18573977188142834,-0.042226639815113244,,,-0.007156910256616829,-0.007156910256626917,0.9759604137189605,0.008719764256668592,,,-0.022364074574648243,-0.02236407457463691,-0.02698651542879582,-0.00946653731970643,0.04997451972066825,0.08577968542799015,0.7707852994215494,,,-0.02153268177349858,-0.02153268177349886,-0.04976053498129514,0.08790871611803724,-0.16458629188340881,1.0,-0.005464226736483191,0.06711367217430826,-0.16172395567359188,0.004713576900186371,-0.06623735535080683,0.07565184725212326,0.061771525857895436,-0.030078502875692987,-0.03247001111782496,0.00986422841385077,0.042944909697787206
HasDiff_timing,0.0076514146712667545,0.014999844627349922,,,-0.07945400272071075,-0.0794540027207204,-0.007344993514186555,-0.015413912246742635,,,-0.10322384721810429,-0.10322384721810725,0.7153310666206704,0.8058949906742815,-0.02993135182552003,-0.047157780531280835,-0.00973888600918377,,,-0.03571439490423539,-0.03571439490423385,0.0065260650465948766,-0.16608010934510267,0.004505832171292115,-0.005464226736483191,1.0,-0.1621024934163509,0.08693210447509075,0.026249257712884225,0.010018991781588504,0.1929057630751857,0.06417066742141224,-0.023901386425650716,-0.08190749450892704,-0.12539715523140918,0.07703973537430439
HasDiff_program,0.03790072943710462,0.02249370818071798,,,0.1679322841267286,0.16793228412673353,0.054020170382161746,0.03669453874418424,,,0.20064340667953806,0.20064340667955355,-0.11454944916195141,-0.12242775694209576,0.014258140391396928,0.013416081051716527,0.01232239870772269,,,0.050914459671666655,0.05091445967166496,0.00461198821528124,0.9525055247770872,0.05033729594113731,0.06711367217430826,-0.1621024934163509,1.0,-0.2264586381623043,-0.20504948180519142,0.1856715783714281,-0.02167865101949485,0.321119872268216,0.20031761030056836,0.25011625540040505,-0.07488224157066915,-0.21905925003865864
HasDiff_pan,-0.1522407958705462,0.031160114312714243,,,-0.004620286301428007,-0.004620286301430725,-0.16762364897845053,0.06194802717524751,,,-0.008921117901274169,-0.008921117901278561,0.11704558664976657,0.06536796476128759,0.03074350530417163,0.042634969863606376,-0.01642533267805572,,,-0.006168030152557128,-0.006168030152557269,-0.014489494000296027,-0.2557228055043819,-0.1500064051898353,-0.16172395567359188,0.08693210447509075,-0.2264586381623043,1.0,0.11938799950015394,0.25255123116894823,0.013996651111274612,-0.09567864355222015,-0.47348133100597567,-0.5524339857904543,0.07157927993993034,0.08033266335117925
HasDiff_pitch,-0.007704120852414215,0.008065444227251927,,,-0.04019284948873321,-0.04019284948873236,9.9993747921387e-05,-0.02118594600747511,,,-0.04009492822705777,-0.04009492822704967,0.0002942871042956723,0.001489104028455556,-0.028848354981101634,-0.04021825739796243,0.004918470506272497,,,-0.001074005442878153,-0.001074005442878299,-0.007923992383789437,-0.20428026224609022,-0.0025091984781871646,0.004713576900186371,0.026249257712884225,-0.20504948180519142,0.11938799950015394,1.0,0.26097687338368153,-0.07513975494667781,-0.1252531373843362,-0.03907252570541374,-0.07693832525433436,0.4931615247370806,0.6891548226931358
HasDiff_ppp,-0.06614522534795136,0.021710249835950393,,,0.038627791173911886,0.038627791173917125,-0.0683682283751569,0.013886399407526442,,,0.05124935216979125,0.05124935216979092,0.009157633083903596,0.00020207771031669568,-0.007528753485229988,-0.012052549606422758,-0.004148237990200349,,,0.01885667176883053,0.018856671768831917,0.003459321270259582,0.1768532041928771,-0.06457307480348516,-0.06623735535080683,0.010018991781588504,0.1856715783714281,0.25255123116894823,0.26097687338368153,1.0,-0.09065789686920502,0.04385492446494315,-0.05866500604856762,-0.07710920325443868,0.12975534287198218,0.18084913732232102
HasDiff_ovVol,0.06990946132735604,-0.00260502871193792,,,-0.38204217431037685,-0.3820421743103805,0.07398556082905564,0.015748308765897202,,,-0.42473321378947804,-0.42473321378948686,0.18832392273680568,0.21704697894707836,0.018123980418439663,0.02099165632073879,0.005540993223074841,,,-0.07135654851895472,-0.07135654851895724,-0.0017283499587807684,-0.010197945368046642,0.07531849506760734,0.07565184725212326,0.1929057630751857,-0.02167865101949485,0.013996651111274612,-0.07513975494667781,-0.09065789686920502,1.0,0.15518908106704346,-0.014726197674691592,-0.043962073706322324,-0.06578021982561845,-0.08536546752937697
HasDiff_octave,0.027046555236567658,-0.030060621347305423,,,-0.019891275126891164,-0.01989127512689354,0.04394480973531351,-0.0179436411889232,,,0.003952743376758043,0.0039527433767604404,0.038223619876138794,0.08117242811334453,0.011694082156603254,,0.01240781493594658,,,0.032824458372479444,0.03282445837247851,0.011853752089888857,0.3118372340862813,0.048338465290810574,0.061771525857895436,0.06417066742141224,0.321119872268216,-0.09567864355222015,-0.1252531373843362,0.04385492446494315,0.15518908106704346,1.0,0.07746411949179331,0.11949487000344057,-0.03651464140772337,-0.12913502612123204
X_panIsCenter,-0.06809243715175478,-0.042046136303202225,,,0.06404817943336724,0.06404817943337669,-0.03821344087835603,-0.0713035677258057,,,0.035025342812437285,0.035025342812432476,-0.047816752501153074,-0.010697616305339714,-0.02933434583824548,-0.04507734661483907,0.017279414943976428,,,-0.03875325642308645,-0.0387532564230882,0.02781710999849248,0.22308352996131303,-0.05591523952948494,-0.030078502875692987,-0.023901386425650716,0.20031761030056836,-0.47348133100597567,-0.03907252570541374,-0.05866500604856762,-0.014726197674691592,0.07746411949179331,1.0,0.602358884985061,-0.16204403172707657,0.0011723154929780273
Y_panIsCenter,-0.05802708837675143,-0.05474385869329857,,,0.040430326453524124,0.04043032645353641,-0.037624487663767886,-0.07256951895086998,,,0.05399379738829857,0.05399379738829124,-0.10351084992407107,-0.05319616526741305,-0.01815152285227852,-0.038749146011848506,0.011335561487316969,,,0.020231338016424658,0.020231338016423465,-0.014629104875896736,0.27261352782145626,-0.04698442845212783,-0.03247001111782496,-0.08190749450892704,0.25011625540040505,-0.5524339857904543,-0.07693832525433436,-0.07710920325443868,-0.043962073706322324,0.11949487000344057,0.602358884985061,1.0,-0.04557611062418031,-0.12452093662958304
X_hasPitchBend,0.026878938105945566,-0.07750735084657287,,,-0.07620481410147648,-0.07620481410148018,0.007564511605437461,-0.04817207718721819,,,-0.04432011156496776,-0.04432011156495941,-0.08033112336286269,-0.09293508701711363,0.028266122765206323,0.029413040666948585,-0.011858700810283248,,,0.042398586341566125,0.04239858634156522,-0.018265975322812256,-0.07967133276449215,0.030330573790643002,0.00986422841385077,-0.12539715523140918,-0.07488224157066915,0.07157927993993034,0.4931615247370806,0.12975534287198218,-0.06578021982561845,-0.03651464140772337,-0.16204403172707657,-0.04557611062418031,1.0,0.10419677336261661
Y_hasPitchBend,-0.023979865678122072,-0.06207142427205621,,,-0.03847442797741285,-0.0384744279774157,0.04108324139003771,-0.09572542649704245,,,-0.06226520413605017,-0.06226520413604097,0.01129277359499287,0.01750913365609343,-0.03387377292302954,-0.047587049769366466,0.04262342300133548,,,-0.03450875840124367,-0.034508758401243116,0.006036163705395201,-0.22170576191064287,-0.022168506608650627,0.042944909697787206,0.07703973537430439,-0.21905925003865864,0.08033266335117925,0.6891548226931358,0.18084913732232102,-0.08536546752937697,-0.12913502612123204,0.0011723154929780273,-0.12452093662958304,0.10419677336261661,1.0
